slang	formal
gw ingin pergi di rumah saja	saya ingin pergi di rumah saja
ntr gue mkn setelah mkn	nanti saya makan setelah makan
gw nggak pergi karena sakit	saya tidak pergi karena sakit
kmrn gua maen bersama tmn	kemarin saya main bersama teman
gua lagi belajar di kantor	saya sedang belajar di kantor
gw udah jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gue nggak bljr karena sakit	saya tidak belajar karena sakit
gue sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
besok gua akan makan ke sekolah	besok saya akan makan ke sekolah
gw nggak jln karena sakit	saya tidak pergi karena sakit
gue nggak jln karena sakit	saya tidak pergi karena sakit
gw ingin main di rmh saja	saya ingin main di rumah saja
kmren gua ngobrol bersama sobat	kemarin saya ngobrol bersama teman
gue lg bljr di warung	saya sedang belajar di warung
gw blm mnm tugas dari sekolah	saya belum minum tugas dari sekolah
gue akan ngantor jika lo mau	saya akan kerja jika kamu mau
besok gua akan ngantor ke sekolah	besok saya akan kerja ke sekolah
gue lg bobok di kampus	saya sedang tidur di kampus
gw nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
gua belom maen tugas dari sekolah	saya belum main tugas dari sekolah
kmrn gue bobok bersama sobat	kemarin saya tidur bersama teman
gua lg bobok di sklh	saya sedang tidur di sekolah
gue sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
gue sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
gue ga maen karena sakit	saya tidak main karena sakit
gw ga bljr karena sakit	saya tidak belajar karena sakit
besok gua akan ngantor ke kantor	besok saya akan kerja ke kantor
gua ingin jalan di rmh saja	saya ingin pergi di rumah saja
gue ingin tdr di rmh saja	saya ingin tidur di rumah saja
ntar gw mnm setelah makan	nanti saya minum setelah makan
ntr gua ngobrol setelah mkn	nanti saya ngobrol setelah makan
gw gk bobok karena sakit	saya tidak tidur karena sakit
gua lg minum di warung	saya sedang minum di warung
gue lg mkn di kampus	saya sedang makan di kampus
gue ingin jln di rumah saja	saya ingin pergi di rumah saja
ntar gue mkn setelah makan	nanti saya makan setelah makan
gua udah bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
gue ingin maen di rmh saja	saya ingin main di rumah saja
gue akan mnm jika lu mo	saya akan minum jika kamu mau
gua ingin ngobrol di rmh saja	saya ingin ngobrol di rumah saja
gua belom bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
kmren gw pergi bersama sobat	kemarin saya pergi bersama teman
ntr gw ngantor setelah mkn	nanti saya kerja setelah makan
gua sdh mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gw akan maen jika kamu mo	saya akan main jika kamu mau
gue akan mkn jika lu mo	saya akan makan jika kamu mau
gua lagi kerja di kafe	saya sedang kerja di kafe
gue lg ngbrl di rmh	saya sedang ngobrol di rumah
gue belom main tugas dari sklh	saya belum main tugas dari sekolah
kmrn gua kerja bersama sobat	kemarin saya kerja bersama teman
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
bsk gw akan kerja ke kafe	besok saya akan kerja ke kafe
kmrn gua pergi bersama tmn	kemarin saya pergi bersama teman
gue akan bobok jika lu mau	saya akan tidur jika kamu mau
gue lagi mnm di warung	saya sedang minum di warung
besok gue akan maen ke rumah	besok saya akan main ke rumah
gua nggak kerja karena sakit	saya tidak kerja karena sakit
gua akan ngobrol jika kamu mau	saya akan ngobrol jika kamu mau
gua udah minum dan ingin istirahat	saya sudah minum dan ingin istirahat
bsk gua akan mkn ke rumah	besok saya akan makan ke rumah
gue nggak maen karena sakit	saya tidak main karena sakit
ntr gua jalan setelah makan	nanti saya pergi setelah makan
gua nggak mnm karena sakit	saya tidak minum karena sakit
gw nggak kerja karena sakit	saya tidak kerja karena sakit
gue lg mkn di rumah	saya sedang makan di rumah
gua belom ngbrl tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gw blm kerja tugas dari sklh	saya belum kerja tugas dari sekolah
ntr gw mnm setelah makan	nanti saya minum setelah makan
gw ga ngobrol karena sakit	saya tidak ngobrol karena sakit
bsk gw akan maen ke sklh	besok saya akan main ke sekolah
gua akan kerja jika kamu mo	saya akan kerja jika kamu mau
gue sdh minum dan ingin istirahat	saya sudah minum dan ingin istirahat
bsk gua akan ngbrl ke warung	besok saya akan ngobrol ke warung
ntr gua mnm setelah mkn	nanti saya minum setelah makan
gua nggak ngbrl karena sakit	saya tidak ngobrol karena sakit
kmren gue pergi bersama tmn	kemarin saya pergi bersama teman
gw ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gw sdh belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
gue blm minum tugas dari sklh	saya belum minum tugas dari sekolah
hari ini gw mau pergi dengan kamu	hari ini saya mau pergi dengan kamu
kmren gue kerja bersama tmn	kemarin saya kerja bersama teman
gua gk ngobrol karena sakit	saya tidak ngobrol karena sakit
besok gue akan maen ke warung	besok saya akan main ke warung
gw lg maen di sklh	saya sedang main di sekolah
hari ini gue mau mnm dengan kamu	hari ini saya mau minum dengan kamu
gue akan pergi jika lo mo	saya akan pergi jika kamu mau
hari ini gue mau maen dengan lo	hari ini saya mau main dengan kamu
gw lagi mkn di rumah	saya sedang makan di rumah
gw gk jln karena sakit	saya tidak pergi karena sakit
gua akan jalan jika kamu mau	saya akan pergi jika kamu mau
gue blm pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
ntar gue belajar setelah mkn	nanti saya belajar setelah makan
gue blm pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
hari ini gw mau pergi dengan lo	hari ini saya mau pergi dengan kamu
gue lg jln di kafe	saya sedang pergi di kafe
gua nggak belajar karena sakit	saya tidak belajar karena sakit
besok gua akan ngobrol ke kafe	besok saya akan ngobrol ke kafe
gua ingin pergi di rumah saja	saya ingin pergi di rumah saja
bsk gue akan ngantor ke kampus	besok saya akan kerja ke kampus
gw akan jalan jika lu mau	saya akan pergi jika kamu mau
besok gue akan tdr ke kantor	besok saya akan tidur ke kantor
besok gw akan ngantor ke rmh	besok saya akan kerja ke rumah
gw ingin minum di rumah saja	saya ingin minum di rumah saja
gw udah kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gue lg ngobrol di sklh	saya sedang ngobrol di sekolah
hari ini gue mo ngbrl dengan kamu	hari ini saya mau ngobrol dengan kamu
besok gua akan jln ke warung	besok saya akan pergi ke warung
hari ini gw mau minum dengan kamu	hari ini saya mau minum dengan kamu
gue akan main jika lo mo	saya akan main jika kamu mau
besok gua akan mnm ke rumah	besok saya akan minum ke rumah
gue gk mkn karena sakit	saya tidak makan karena sakit
kmrn gua bljr bersama sobat	kemarin saya belajar bersama teman
gw akan ngantor jika lu mo	saya akan kerja jika kamu mau
hari ini gue mau ngantor dengan lo	hari ini saya mau kerja dengan kamu
hari ini gw mau mkn dengan lo	hari ini saya mau makan dengan kamu
kmren gw mkn bersama tmn	kemarin saya makan bersama teman
gue sdh belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
gua blm minum tugas dari sklh	saya belum minum tugas dari sekolah
gw ingin ngantor di rumah saja	saya ingin kerja di rumah saja
gue belom pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
gw ingin mkn di rumah saja	saya ingin makan di rumah saja
ntar gw mkn setelah mkn	nanti saya makan setelah makan
gw lg jln di kantor	saya sedang pergi di kantor
ntar gue belajar setelah makan	nanti saya belajar setelah makan
hari ini gue mau maen dengan kamu	hari ini saya mau main dengan kamu
ntar gua ngantor setelah makan	nanti saya kerja setelah makan
gua akan minum jika kamu mo	saya akan minum jika kamu mau
besok gw akan jln ke kampus	besok saya akan pergi ke kampus
gw blm jalan tugas dari sekolah	saya belum pergi tugas dari sekolah
gue akan tdr jika kamu mo	saya akan tidur jika kamu mau
ntar gua bobok setelah makan	nanti saya tidur setelah makan
kmrn gw ngobrol bersama sobat	kemarin saya ngobrol bersama teman
gue akan tdr jika lo mau	saya akan tidur jika kamu mau
gue ingin mkn di rumah saja	saya ingin makan di rumah saja
besok gw akan jln ke rumah	besok saya akan pergi ke rumah
gua lagi bobok di kafe	saya sedang tidur di kafe
ntr gw makan setelah makan	nanti saya makan setelah makan
ntar gua ngbrl setelah makan	nanti saya ngobrol setelah makan
kmren gua jln bersama sobat	kemarin saya pergi bersama teman
gue blm makan tugas dari sklh	saya belum makan tugas dari sekolah
ntr gua minum setelah makan	nanti saya minum setelah makan
bsk gw akan maen ke kantor	besok saya akan main ke kantor
kmrn gue belajar bersama tmn	kemarin saya belajar bersama teman
gw ingin makan di rmh saja	saya ingin makan di rumah saja
gua ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gue ga pergi karena sakit	saya tidak pergi karena sakit
gue udah jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
bsk gua akan mkn ke kantor	besok saya akan makan ke kantor
besok gue akan ngobrol ke kafe	besok saya akan ngobrol ke kafe
gw akan bobok jika lu mau	saya akan tidur jika kamu mau
kmren gw ngantor bersama sobat	kemarin saya kerja bersama teman
besok gw akan maen ke warung	besok saya akan main ke warung
gw ingin ngbrl di rmh saja	saya ingin ngobrol di rumah saja
bsk gw akan mkn ke kafe	besok saya akan makan ke kafe
gua akan makan jika lo mau	saya akan makan jika kamu mau
hari ini gw mau bobok dengan kamu	hari ini saya mau tidur dengan kamu
gw akan kerja jika lo mo	saya akan kerja jika kamu mau
gw nggak makan karena sakit	saya tidak makan karena sakit
bsk gue akan makan ke rmh	besok saya akan makan ke rumah
kmren gua bljr bersama tmn	kemarin saya belajar bersama teman
gua sdh mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
gue blm makan tugas dari sekolah	saya belum makan tugas dari sekolah
kmrn gue ngobrol bersama tmn	kemarin saya ngobrol bersama teman
gua ingin mnm di rmh saja	saya ingin minum di rumah saja
gw sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
hari ini gua mau bobok dengan lu	hari ini saya mau tidur dengan kamu
gua ingin bobok di rmh saja	saya ingin tidur di rumah saja
gue blm jalan tugas dari sekolah	saya belum pergi tugas dari sekolah
gua belom jalan tugas dari sekolah	saya belum pergi tugas dari sekolah
gw ingin minum di rumah saja	saya ingin minum di rumah saja
gw ingin ngantor di rumah saja	saya ingin kerja di rumah saja
hari ini gue mo kerja dengan kamu	hari ini saya mau kerja dengan kamu
gua belom jln tugas dari sekolah	saya belum pergi tugas dari sekolah
kmren gue ngobrol bersama tmn	kemarin saya ngobrol bersama teman
gue gk maen karena sakit	saya tidak main karena sakit
gua lg ngantor di sklh	saya sedang kerja di sekolah
besok gua akan mnm ke kampus	besok saya akan minum ke kampus
gua akan ngantor jika lu mau	saya akan kerja jika kamu mau
besok gue akan ngobrol ke kampus	besok saya akan ngobrol ke kampus
kmrn gua jalan bersama sobat	kemarin saya pergi bersama teman
gw blm main tugas dari sekolah	saya belum main tugas dari sekolah
gua lagi minum di kafe	saya sedang minum di kafe
besok gue akan pergi ke warung	besok saya akan pergi ke warung
gw ga belajar karena sakit	saya tidak belajar karena sakit
gua nggak ngobrol karena sakit	saya tidak ngobrol karena sakit
gw sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
besok gua akan belajar ke warung	besok saya akan belajar ke warung
hari ini gua mo bobok dengan lu	hari ini saya mau tidur dengan kamu
ntar gua makan setelah makan	nanti saya makan setelah makan
gua akan bobok jika lu mo	saya akan tidur jika kamu mau
gw blm pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
besok gua akan jalan ke warung	besok saya akan pergi ke warung
gw lagi tdr di kampus	saya sedang tidur di kampus
ntr gw kerja setelah makan	nanti saya kerja setelah makan
gua ga tdr karena sakit	saya tidak tidur karena sakit
besok gw akan bobok ke kafe	besok saya akan tidur ke kafe
kmren gw ngobrol bersama tmn	kemarin saya ngobrol bersama teman
gua ingin tdr di rumah saja	saya ingin tidur di rumah saja
gua udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
bsk gua akan maen ke kafe	besok saya akan main ke kafe
hari ini gw mo maen dengan lu	hari ini saya mau main dengan kamu
gua akan tdr jika lu mo	saya akan tidur jika kamu mau
gw ga ngantor karena sakit	saya tidak kerja karena sakit
ntr gue mnm setelah makan	nanti saya minum setelah makan
gue lg tdr di warung	saya sedang tidur di warung
gua akan belajar jika lu mo	saya akan belajar jika kamu mau
gua belom maen tugas dari sekolah	saya belum main tugas dari sekolah
hari ini gw mau minum dengan lo	hari ini saya mau minum dengan kamu
kmren gue minum bersama tmn	kemarin saya minum bersama teman
bsk gue akan ngbrl ke kafe	besok saya akan ngobrol ke kafe
gue lagi mkn di sekolah	saya sedang makan di sekolah
kmrn gua tdr bersama sobat	kemarin saya tidur bersama teman
gw lg bljr di warung	saya sedang belajar di warung
gw ga mkn karena sakit	saya tidak makan karena sakit
gue lagi minum di warung	saya sedang minum di warung
bsk gue akan bobok ke kafe	besok saya akan tidur ke kafe
gue sdh jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
kmrn gw kerja bersama tmn	kemarin saya kerja bersama teman
gua lagi kerja di sklh	saya sedang kerja di sekolah
gua sdh tdr dan ingin istirahat	saya sudah tidur dan ingin istirahat
kmrn gue makan bersama tmn	kemarin saya makan bersama teman
gua udah belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
kmren gw minum bersama sobat	kemarin saya minum bersama teman
kmrn gue makan bersama sobat	kemarin saya makan bersama teman
gua blm jln tugas dari sekolah	saya belum pergi tugas dari sekolah
hari ini gw mo ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
gua lagi maen di kampus	saya sedang main di kampus
gue lagi maen di warung	saya sedang main di warung
gua belom ngbrl tugas dari sklh	saya belum ngobrol tugas dari sekolah
gw blm makan tugas dari sekolah	saya belum makan tugas dari sekolah
gua akan mkn jika lo mo	saya akan makan jika kamu mau
gue sdh pergi dan ingin istirahat	saya sudah pergi dan ingin istirahat
hari ini gw mo mkn dengan kamu	hari ini saya mau makan dengan kamu
kmren gua tdr bersama sobat	kemarin saya tidur bersama teman
besok gw akan pergi ke warung	besok saya akan pergi ke warung
besok gue akan mkn ke warung	besok saya akan makan ke warung
ntar gue kerja setelah makan	nanti saya kerja setelah makan
kmrn gue ngbrl bersama tmn	kemarin saya ngobrol bersama teman
hari ini gue mo makan dengan kamu	hari ini saya mau makan dengan kamu
gue ga pergi karena sakit	saya tidak pergi karena sakit
gue ingin belajar di rumah saja	saya ingin belajar di rumah saja
gw ga mkn karena sakit	saya tidak makan karena sakit
kmrn gue bobok bersama sobat	kemarin saya tidur bersama teman
besok gua akan belajar ke sekolah	besok saya akan belajar ke sekolah
gue udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
gua udah makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gw sdh pergi dan ingin istirahat	saya sudah pergi dan ingin istirahat
ntar gua tdr setelah mkn	nanti saya tidur setelah makan
gua lg jln di kafe	saya sedang pergi di kafe
hari ini gue mo ngbrl dengan lo	hari ini saya mau ngobrol dengan kamu
gw lg jln di rmh	saya sedang pergi di rumah
gue blm minum tugas dari sklh	saya belum minum tugas dari sekolah
besok gw akan bljr ke kantor	besok saya akan belajar ke kantor
gw sdh mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gue ga maen karena sakit	saya tidak main karena sakit
gua ingin maen di rmh saja	saya ingin main di rumah saja
gue sdh bobok dan ingin istirahat	saya sudah tidur dan ingin istirahat
ntr gua ngantor setelah makan	nanti saya kerja setelah makan
gua akan belajar jika lo mo	saya akan belajar jika kamu mau
gue ingin belajar di rmh saja	saya ingin belajar di rumah saja
hari ini gue mo kerja dengan lu	hari ini saya mau kerja dengan kamu
ntr gua bljr setelah mkn	nanti saya belajar setelah makan
besok gue akan minum ke sklh	besok saya akan minum ke sekolah
gua akan maen jika kamu mau	saya akan main jika kamu mau
gue akan main jika lu mo	saya akan main jika kamu mau
ntr gue main setelah makan	nanti saya main setelah makan
gue nggak mnm karena sakit	saya tidak minum karena sakit
gw sdh mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gua sdh mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gua belom ngantor tugas dari sekolah	saya belum kerja tugas dari sekolah
gue akan minum jika lo mo	saya akan minum jika kamu mau
gua akan mkn jika lo mo	saya akan makan jika kamu mau
gua ingin maen di rumah saja	saya ingin main di rumah saja
gw belom tdr tugas dari sekolah	saya belum tidur tugas dari sekolah
gw gk bobok karena sakit	saya tidak tidur karena sakit
gua lg belajar di sekolah	saya sedang belajar di sekolah
gw lg makan di kafe	saya sedang makan di kafe
gw sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gue akan maen jika lu mo	saya akan main jika kamu mau
gua ingin maen di rmh saja	saya ingin main di rumah saja
gue gk ngobrol karena sakit	saya tidak ngobrol karena sakit
gua lagi minum di rumah	saya sedang minum di rumah
gue sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
gue gk kerja karena sakit	saya tidak kerja karena sakit
gw lagi pergi di kafe	saya sedang pergi di kafe
gua blm makan tugas dari sekolah	saya belum makan tugas dari sekolah
gue akan belajar jika lo mau	saya akan belajar jika kamu mau
gw akan belajar jika lo mau	saya akan belajar jika kamu mau
gue udah minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gue lagi ngobrol di rmh	saya sedang ngobrol di rumah
kmrn gue pergi bersama tmn	kemarin saya pergi bersama teman
gua akan kerja jika kamu mau	saya akan kerja jika kamu mau
gw lagi pergi di rmh	saya sedang pergi di rumah
gw lg ngobrol di kampus	saya sedang ngobrol di kampus
bsk gua akan belajar ke kafe	besok saya akan belajar ke kafe
gue ingin maen di rmh saja	saya ingin main di rumah saja
kmrn gue mkn bersama tmn	kemarin saya makan bersama teman
gue ga tdr karena sakit	saya tidak tidur karena sakit
gw ingin belajar di rumah saja	saya ingin belajar di rumah saja
kmrn gue kerja bersama tmn	kemarin saya kerja bersama teman
gue lagi belajar di kafe	saya sedang belajar di kafe
gue belom bljr tugas dari sklh	saya belum belajar tugas dari sekolah
gue ingin bljr di rmh saja	saya ingin belajar di rumah saja
gua akan bljr jika kamu mau	saya akan belajar jika kamu mau
hari ini gua mau bobok dengan lu	hari ini saya mau tidur dengan kamu
gua belom belajar tugas dari sekolah	saya belum belajar tugas dari sekolah
gw ingin tdr di rumah saja	saya ingin tidur di rumah saja
gua belom main tugas dari sekolah	saya belum main tugas dari sekolah
ntr gua makan setelah mkn	nanti saya makan setelah makan
besok gue akan jalan ke sekolah	besok saya akan pergi ke sekolah
besok gw akan main ke kantor	besok saya akan main ke kantor
gua belom bobok tugas dari sklh	saya belum tidur tugas dari sekolah
gw lagi kerja di kampus	saya sedang kerja di kampus
gue ingin ngbrl di rmh saja	saya ingin ngobrol di rumah saja
hari ini gua mau ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
kmren gua bljr bersama tmn	kemarin saya belajar bersama teman
kmren gue main bersama tmn	kemarin saya main bersama teman
bsk gw akan bljr ke sekolah	besok saya akan belajar ke sekolah
gw ingin tdr di rmh saja	saya ingin tidur di rumah saja
besok gua akan belajar ke rumah	besok saya akan belajar ke rumah
gue udah ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
besok gw akan bljr ke kampus	besok saya akan belajar ke kampus
gue ingin ngobrol di rmh saja	saya ingin ngobrol di rumah saja
gua udah jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gue ingin maen di rmh saja	saya ingin main di rumah saja
hari ini gw mo minum dengan lu	hari ini saya mau minum dengan kamu
ntr gw tdr setelah mkn	nanti saya tidur setelah makan
gua lagi pergi di warung	saya sedang pergi di warung
gua lagi pergi di kantor	saya sedang pergi di kantor
hari ini gue mo bobok dengan lu	hari ini saya mau tidur dengan kamu
ntr gw belajar setelah mkn	nanti saya belajar setelah makan
gua ingin ngbrl di rumah saja	saya ingin ngobrol di rumah saja
gue blm main tugas dari sekolah	saya belum main tugas dari sekolah
ntar gw kerja setelah makan	nanti saya kerja setelah makan
gua blm bljr tugas dari sklh	saya belum belajar tugas dari sekolah
ntr gw bobok setelah mkn	nanti saya tidur setelah makan
gw nggak jalan karena sakit	saya tidak pergi karena sakit
gw belom tdr tugas dari sekolah	saya belum tidur tugas dari sekolah
gua sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gw ingin main di rmh saja	saya ingin main di rumah saja
gua ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gw belom bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
besok gua akan mnm ke rmh	besok saya akan minum ke rumah
gua lg ngantor di kampus	saya sedang kerja di kampus
gua blm mkn tugas dari sklh	saya belum makan tugas dari sekolah
gw ingin bljr di rumah saja	saya ingin belajar di rumah saja
gua udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gw lg minum di rmh	saya sedang minum di rumah
gua ga jln karena sakit	saya tidak pergi karena sakit
gw belom jalan tugas dari sklh	saya belum pergi tugas dari sekolah
gue blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
hari ini gua mo jln dengan lu	hari ini saya mau pergi dengan kamu
gue akan kerja jika lo mo	saya akan kerja jika kamu mau
gue akan maen jika lu mo	saya akan main jika kamu mau
gw lagi tdr di rumah	saya sedang tidur di rumah
ntar gw mnm setelah makan	nanti saya minum setelah makan
gue udah bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
gue akan bobok jika kamu mo	saya akan tidur jika kamu mau
gw udah main dan ingin istirahat	saya sudah main dan ingin istirahat
gw lagi mnm di kantor	saya sedang minum di kantor
besok gw akan main ke kampus	besok saya akan main ke kampus
gw akan ngantor jika lo mau	saya akan kerja jika kamu mau
gua ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
ntar gw bljr setelah makan	nanti saya belajar setelah makan
hari ini gue mau pergi dengan lu	hari ini saya mau pergi dengan kamu
gw akan main jika lo mau	saya akan main jika kamu mau
gw ingin jln di rmh saja	saya ingin pergi di rumah saja
gue ingin mnm di rumah saja	saya ingin minum di rumah saja
gue ingin minum di rumah saja	saya ingin minum di rumah saja
besok gua akan kerja ke warung	besok saya akan kerja ke warung
kmrn gw makan bersama tmn	kemarin saya makan bersama teman
gw nggak belajar karena sakit	saya tidak belajar karena sakit
besok gue akan ngantor ke warung	besok saya akan kerja ke warung
gw ga belajar karena sakit	saya tidak belajar karena sakit
gue blm bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gw belom mkn tugas dari sklh	saya belum makan tugas dari sekolah
gw ingin kerja di rmh saja	saya ingin kerja di rumah saja
gue blm maen tugas dari sekolah	saya belum main tugas dari sekolah
gw sdh mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
gua udah main dan ingin istirahat	saya sudah main dan ingin istirahat
gua udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
kmrn gw maen bersama sobat	kemarin saya main bersama teman
ntr gua mnm setelah mkn	nanti saya minum setelah makan
besok gua akan makan ke sekolah	besok saya akan makan ke sekolah
gua ingin mnm di rmh saja	saya ingin minum di rumah saja
gua gk main karena sakit	saya tidak main karena sakit
gua lg jalan di kampus	saya sedang pergi di kampus
gw ingin pergi di rumah saja	saya ingin pergi di rumah saja
gua belom kerja tugas dari sklh	saya belum kerja tugas dari sekolah
gw akan mkn jika lu mo	saya akan makan jika kamu mau
gua sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gue ga bljr karena sakit	saya tidak belajar karena sakit
gue ingin jalan di rumah saja	saya ingin pergi di rumah saja
gue ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gua lg mkn di warung	saya sedang makan di warung
gua ga minum karena sakit	saya tidak minum karena sakit
gua ingin kerja di rmh saja	saya ingin kerja di rumah saja
gua ingin bobok di rumah saja	saya ingin tidur di rumah saja
gua akan mkn jika lu mo	saya akan makan jika kamu mau
gua ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
kmren gue minum bersama tmn	kemarin saya minum bersama teman
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gw lg makan di kafe	saya sedang makan di kafe
gue sdh bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
ntar gw ngobrol setelah makan	nanti saya ngobrol setelah makan
kmren gue tdr bersama tmn	kemarin saya tidur bersama teman
hari ini gua mo jalan dengan lo	hari ini saya mau pergi dengan kamu
gue blm bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gua akan jalan jika lo mo	saya akan pergi jika kamu mau
besok gue akan bobok ke kantor	besok saya akan tidur ke kantor
hari ini gw mau makan dengan lu	hari ini saya mau makan dengan kamu
bsk gw akan jln ke warung	besok saya akan pergi ke warung
gw lagi kerja di sklh	saya sedang kerja di sekolah
gue akan tdr jika lo mo	saya akan tidur jika kamu mau
gue udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
kmrn gue main bersama tmn	kemarin saya main bersama teman
gue ingin mnm di rmh saja	saya ingin minum di rumah saja
ntr gua maen setelah mkn	nanti saya main setelah makan
gw gk ngbrl karena sakit	saya tidak ngobrol karena sakit
ntr gua ngobrol setelah mkn	nanti saya ngobrol setelah makan
gue gk tdr karena sakit	saya tidak tidur karena sakit
gue belom maen tugas dari sklh	saya belum main tugas dari sekolah
gw akan minum jika lo mo	saya akan minum jika kamu mau
gw blm kerja tugas dari sekolah	saya belum kerja tugas dari sekolah
kmrn gw bobok bersama sobat	kemarin saya tidur bersama teman
hari ini gue mau bljr dengan lo	hari ini saya mau belajar dengan kamu
ntar gua minum setelah mkn	nanti saya minum setelah makan
besok gw akan maen ke kafe	besok saya akan main ke kafe
bsk gua akan minum ke sekolah	besok saya akan minum ke sekolah
gua ingin ngantor di rmh saja	saya ingin kerja di rumah saja
bsk gua akan mkn ke sklh	besok saya akan makan ke sekolah
gue ingin pergi di rumah saja	saya ingin pergi di rumah saja
gue belom pergi tugas dari sklh	saya belum pergi tugas dari sekolah
gw akan main jika kamu mau	saya akan main jika kamu mau
gue lg ngbrl di kampus	saya sedang ngobrol di kampus
gue blm tdr tugas dari sekolah	saya belum tidur tugas dari sekolah
hari ini gue mo kerja dengan kamu	hari ini saya mau kerja dengan kamu
gw ga jalan karena sakit	saya tidak pergi karena sakit
gua lg ngbrl di kampus	saya sedang ngobrol di kampus
ntr gw ngobrol setelah mkn	nanti saya ngobrol setelah makan
gw ga ngobrol karena sakit	saya tidak ngobrol karena sakit
kmren gw kerja bersama sobat	kemarin saya kerja bersama teman
gua akan ngantor jika kamu mo	saya akan kerja jika kamu mau
gue sdh main dan ingin istirahat	saya sudah main dan ingin istirahat
gue nggak ngantor karena sakit	saya tidak kerja karena sakit
ntar gua mkn setelah makan	nanti saya makan setelah makan
gue ga maen karena sakit	saya tidak main karena sakit
kmren gw makan bersama tmn	kemarin saya makan bersama teman
gua udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gw ga maen karena sakit	saya tidak main karena sakit
gua ga main karena sakit	saya tidak main karena sakit
gue blm bljr tugas dari sklh	saya belum belajar tugas dari sekolah
gua gk mkn karena sakit	saya tidak makan karena sakit
besok gue akan bobok ke sklh	besok saya akan tidur ke sekolah
ntr gue belajar setelah mkn	nanti saya belajar setelah makan
gue ga makan karena sakit	saya tidak makan karena sakit
gue udah maen dan ingin istirahat	saya sudah main dan ingin istirahat
bsk gue akan kerja ke kantor	besok saya akan kerja ke kantor
ntar gw belajar setelah makan	nanti saya belajar setelah makan
besok gua akan mkn ke warung	besok saya akan makan ke warung
ntar gue belajar setelah mkn	nanti saya belajar setelah makan
kmren gue tdr bersama sobat	kemarin saya tidur bersama teman
bsk gue akan ngantor ke kantor	besok saya akan kerja ke kantor
gue blm main tugas dari sekolah	saya belum main tugas dari sekolah
besok gw akan maen ke kafe	besok saya akan main ke kafe
